person,L,surp,surp_bert
1,1,6.846,6.866
1,2,5.646,6.629
1,4,5.033,6.718
1,8,4.089,6.804
1,16,3.311,6.966
1,32,2.821,6.881
1,64,2.585,6.873
1,125,2.457,6.776
1,250,2.398,6.816
1,500,2.375,6.072
2,1,5.273,6.485
2,2,4.888,6.567
2,4,4.292,6.879
2,8,3.65,6.951
2,16,2.896,6.671
2,32,2.388,6.558
2,64,2.183,6.416
2,125,2.106,6.198
2,250,2.063,6.017
2,500,2.051,5.028
3,1,5.224,8.158
3,2,4.669,7.427
3,4,4.372,8.148
3,8,3.89,7.936
3,16,3.3,7.558
3,32,2.802,7.347
3,64,2.564,7.193
3,125,2.448,7.066
3,250,2.393,7.077
3,500,2.361,6.131
