model,L,median,pct_lt_01,depth_share,marginal_gain,rho_clean,rho_cross_model
gpt2m_causal,1,5.349087715148926,0.0,0.0,,0.3342762539338005,0.46868005855560385
gpt2m_causal,2,4.990990161895752,0.000620037202232134,0.0959363410407621,0.31865787506103516,0.379896472078928,0.4113427307889752
gpt2m_causal,4,4.513481378555298,0.0008200492029521771,0.21161778859314803,0.3781470060348511,0.41785760687520335,0.44490533363019363
gpt2m_causal,8,3.9044982194900513,0.0045302718163089785,0.4260055991720844,0.33658385276794434,0.4783205992226475,0.4834872506822346
gpt2m_causal,16,3.2198221683502197,0.010350621037262236,0.6642481444135696,0.3019363284111023,0.5725138129017275,0.4890259610706732
gpt2m_causal,32,2.725288987159729,0.014600876052563154,0.8264189899184863,0.22136857733130455,0.6683738628408955,0.5040470847028201
gpt2m_causal,64,2.5021435022354126,0.017371042262535753,0.9095574300234038,0.11289799213409424,0.7181181211026997,0.4968312549359321
gpt2m_causal,125,2.3902775049209595,0.0203712222733364,0.9575223458058599,0.05778279900550842,0.743240477969254,0.5018335015219846
gpt2m_causal,250,2.341080069541931,0.02283136988219293,0.9855346907688526,0.027780376374721527,0.7550798618244058,0.49883883665334666
gpt2m_causal,500,2.3186542987823486,0.024191451487089226,1.0,0.012881040573120117,0.7610169518082317,0.5375639034965707
bert_L:0,1,7.239994525909424,0.0,0.0,,0.35457009917147264,0.46868005855560385
bert_L:0,2,6.93078088760376,0.0006600396023761425,0.30079654159377384,0.4631056785583496,0.43429998335580644,0.4113427307889752
bert_L:0,4,7.369538068771362,0.0013500810048602916,-0.013896311304875958,-0.5219131410121918,0.46160330054353094,0.44490533363019363
bert_L:0,8,7.3007707595825195,0.0019501170070204213,0.13846601980537174,-0.04196906089782715,0.4819842801270099,0.4834872506822346
bert_L:0,16,7.137653350830078,0.003190191411484689,0.16034818826547134,-0.030734539031982422,0.4974120033508625,0.4890259610706732
bert_L:0,32,6.974674940109253,0.003170190211412685,0.25084021921037747,0.06174588203430176,0.5042944203487827,0.5040470847028201
bert_L:0,64,6.885739088058472,0.003130187811268676,0.3295501337118882,0.06270933151245117,0.5028471055899228,0.4968312549359321
bert_L:0,125,6.745084524154663,0.004640278416705002,0.4115142280939447,0.11632788181304932,0.5086423484111592,0.5018335015219846
bert_L:0,250,6.721360445022583,0.005920355221313279,0.4494415134181881,0.07747101783752441,0.5075724727485027,0.49883883665334666
bert_L:0,500,5.830477714538574,0.011280676840610437,1.0,0.7682592272758484,0.5400984933326265,0.5375639034965707
