composite,rho_ceiling,rho_clean,rho_v4rater,tie_mass
g250+f2 raw,0.36944656836406314,0.4749476855169723,0.3711762229176597,2.000120007200432e-05
g250+f2 z,0.3782542966063041,0.5199167374726044,0.40346176642796283,
g250+f8 raw,0.469209368173377,0.4274416085219633,0.24839110027650665,0.0002800168010080605
g250+f8 z,0.47064223733818517,0.4877161951618211,0.2992218163478104,
g250+f32 raw,0.5014321543156018,0.4557704814274446,0.27234068767027303,0.0005700342020521232
g250+f32 z,0.4972461911561299,0.5084340989766698,0.3167824893852307,
g250+f250 raw,0.5107787236452153,0.4592012305970057,0.27847076306115875,0.0010700642038522312
g250+f250 z,0.504060992042641,0.5147955252286206,0.32482946377740296,
g500+f2 raw,0.37014113162596457,0.47373121226716475,0.3680726019054454,2.000120007200432e-05
g500+f2 z,0.38096576874387256,0.5283766081428725,0.40712517513353597,
g500+f8 raw,0.4714519006607093,0.4253765504170264,0.24362252167080087,0.00034002040122407346
g500+f8 z,0.4734730007408411,0.49610507135836457,0.302865896523633,
g500+f32 raw,0.5040571621480682,0.45435601173875156,0.26798604978269724,0.0005900354021241274
g500+f32 z,0.4994664484707713,0.5161375003506663,0.31974410667866227,
g500+f250 raw,0.5132877558277374,0.4577157348748954,0.27405111376568364,0.001240074404464268
g500+f250 z,0.5059235513853831,0.5220724056857466,0.32732131889254035,
