model,mode,L,R,n,median,tie,rho_clean
bert,mask,0,0,99994,7.2770843505859375,0.0,-0.08531188152396223
bert,mask,0,1,99994,7.287915945053101,0.0,-0.09698638557468842
bert,mask,0,2,99994,7.292333364486694,0.0,-0.09770815481809393
bert,mask,0,4,99994,7.316167831420898,0.0,-0.09634509230452089
bert,mask,0,8,99994,7.313702344894409,0.0,-0.10208807906601475
bert,mask,0,16,99994,7.243337631225586,0.0,-0.09896241528051054
bert,mask,0,32,99994,7.1407630443573,0.0,-0.09939945818554251
bert,mask,0,64,99994,7.136480331420898,0.0,-0.09590824180537416
bert,mask,0,125,99994,7.220158576965332,0.0,-0.09260109387105113
bert,mask,0,250,99994,4.823773145675659,0.002450147008820529,-0.06240357827124098
bert,mask,1,0,99994,7.092870235443115,0.0,-0.09156381997546192
bert,mask,2,0,99994,7.003467559814453,0.0,-0.0908529414096401
bert,mask,4,0,99994,7.043708562850952,0.0,-0.08336883529886027
bert,mask,8,0,99994,7.008255958557129,0.0,-0.08422287683262582
bert,mask,16,0,99994,6.907121419906616,0.0,-0.08081470182458103
bert,mask,32,0,99994,6.735870838165283,0.0,-0.06682298961434045
bert,mask,64,0,99994,6.5364768505096436,0.0,-0.03775741510069374
bert,mask,125,0,99994,6.340332984924316,0.0,0.027255987363032426
bert,mask,250,0,99994,5.154705047607422,0.0002700162009720583,0.5054469445489186
bert,mask,250,250,99994,0.054232172667980194,0.5725243514610877,0.3037144728815396
bert,trunc,0,0,99994,9.050415992736816,0.0,0.06397725473026594
bert,trunc,0,1,99994,3.618234634399414,0.0,0.04709598534898926
bert,trunc,0,2,99994,2.224226236343384,0.015530931855911355,-0.0008116436656802904
bert,trunc,0,4,99994,1.6552296876907349,0.08673520411224674,-0.07718454505769641
bert,trunc,0,8,99994,1.315502643585205,0.13576814608876533,-0.0777989695384494
bert,trunc,0,16,99994,0.9898367524147034,0.18016080964857892,-0.06925952919705308
bert,trunc,0,32,99994,0.7581828236579895,0.22019321159269556,-0.060696121589479964
bert,trunc,0,64,99994,0.6426413655281067,0.2518151089065344,-0.05520535845641216
bert,trunc,0,125,99994,0.5922468900680542,0.2722863371802308,-0.05038058295702063
