checkpoint,timestamp,step,metric,value,n_samples,phenomenon,condition
checkpoint-26,2025-08-10T15:30:15.324634,26,blimp_overall,0.5437313432835821,6700.0,,
checkpoint-53,2025-08-10T15:31:56.257223,53,blimp_overall,0.5471641791044776,6700.0,,
checkpoint-79,2025-08-10T15:33:31.249956,79,blimp_overall,0.5513432835820895,6700.0,,
checkpoint-105,2025-08-10T15:35:06.526542,105,blimp_overall,0.5546268656716418,6700.0,,
checkpoint-132,2025-08-10T15:36:41.701043,132,blimp_overall,0.5446268656716418,6700.0,,
checkpoint-158,2025-08-10T15:38:16.558290,158,blimp_overall,0.5286567164179105,6700.0,,
checkpoint-184,2025-08-10T15:39:50.711757,184,blimp_overall,0.5213432835820896,6700.0,,
checkpoint-211,2025-08-10T15:41:24.177334,211,blimp_overall,0.5274626865671642,6700.0,,
checkpoint-237,2025-08-10T15:42:57.729499,237,blimp_overall,0.53,6700.0,,
checkpoint-263,2025-08-10T15:44:32.160276,263,blimp_overall,0.5347761194029851,6700.0,,
checkpoint-289,2025-08-10T15:46:05.963463,289,blimp_overall,0.536865671641791,6700.0,,
checkpoint-316,2025-08-10T15:47:39.711069,316,blimp_overall,0.5280597014925373,6700.0,,
checkpoint-342,2025-08-10T15:49:13.891117,342,blimp_overall,0.5261194029850746,6700.0,,
checkpoint-368,2025-08-10T15:50:48.354460,368,blimp_overall,0.5292537313432836,6700.0,,
checkpoint-395,2025-08-10T15:52:22.684568,395,blimp_overall,0.5328358208955224,6700.0,,
checkpoint-421,2025-08-10T15:53:57.000435,421,blimp_overall,0.5295522388059701,6700.0,,
checkpoint-447,2025-08-10T15:55:32.502181,447,blimp_overall,0.5280597014925373,6700.0,,
checkpoint-474,2025-08-10T15:57:07.064692,474,blimp_overall,0.5286567164179105,6700.0,,
checkpoint-500,2025-08-10T15:58:41.458180,500,blimp_overall,0.5311940298507463,6700.0,,
checkpoint-583,2025-08-10T16:00:15.927944,583,blimp_overall,0.5246268656716417,6700.0,,
checkpoint-666,2025-08-10T16:01:50.421495,666,blimp_overall,0.5286567164179105,6700.0,,
checkpoint-749,2025-08-10T16:03:25.041111,749,blimp_overall,0.5328358208955224,6700.0,,
checkpoint-832,2025-08-10T16:04:59.114679,832,blimp_overall,0.5334328358208955,6700.0,,
checkpoint-915,2025-08-10T16:06:34.246999,915,blimp_overall,0.5338805970149254,6700.0,,
checkpoint-1000,2025-08-10T16:08:08.913692,1000,blimp_overall,0.5313432835820896,6700.0,,
checkpoint-1083,2025-08-10T16:09:44.460098,1083,blimp_overall,0.5276119402985074,6700.0,,
checkpoint-1166,2025-08-10T16:11:19.687093,1166,blimp_overall,0.5264179104477612,6700.0,,
checkpoint-1249,2025-08-10T16:12:55.182134,1249,blimp_overall,0.5170149253731343,6700.0,,
checkpoint-1332,2025-08-10T16:14:31.325872,1332,blimp_overall,0.515223880597015,6700.0,,
checkpoint-1415,2025-08-10T16:16:07.272550,1415,blimp_overall,0.5165671641791045,6700.0,,
checkpoint-1500,2025-08-10T16:17:42.925392,1500,blimp_overall,0.5247761194029851,6700.0,,
checkpoint-1583,2025-08-10T16:19:18.529390,1583,blimp_overall,0.5168656716417911,6700.0,,
checkpoint-1666,2025-08-10T16:20:54.331705,1666,blimp_overall,0.5131343283582089,6700.0,,
checkpoint-1749,2025-08-10T16:22:28.861030,1749,blimp_overall,0.5135820895522388,6700.0,,
checkpoint-1832,2025-08-10T16:24:01.055844,1832,blimp_overall,0.5202985074626866,6700.0,,
checkpoint-1915,2025-08-10T16:25:33.389560,1915,blimp_overall,0.5146268656716418,6700.0,,
checkpoint-2000,2025-08-10T16:27:05.308472,2000,blimp_overall,0.5198507462686567,6700.0,,
checkpoint-2083,2025-08-10T16:28:37.345865,2083,blimp_overall,0.5183582089552239,6700.0,,
checkpoint-2166,2025-08-10T16:30:09.273166,2166,blimp_overall,0.5229850746268657,6700.0,,
checkpoint-2249,2025-08-10T16:31:41.124374,2249,blimp_overall,0.5138805970149254,6700.0,,
checkpoint-2332,2025-08-10T16:33:13.091838,2332,blimp_overall,0.5225373134328358,6700.0,,
checkpoint-2415,2025-08-10T16:34:44.970894,2415,blimp_overall,0.5217910447761194,6700.0,,
checkpoint-2500,2025-08-10T16:36:16.865107,2500,blimp_overall,0.5235820895522388,6700.0,,
checkpoint-2583,2025-08-10T16:37:48.789310,2583,blimp_overall,0.5262686567164179,6700.0,,
checkpoint-2666,2025-08-10T16:39:20.640502,2666,blimp_overall,0.53,6700.0,,
checkpoint-2749,2025-08-10T16:40:52.444968,2749,blimp_overall,0.5292537313432836,6700.0,,
checkpoint-2832,2025-08-10T16:42:24.458651,2832,blimp_overall,0.5320895522388059,6700.0,,
checkpoint-2915,2025-08-10T16:43:56.188146,2915,blimp_overall,0.5319402985074627,6700.0,,
checkpoint-3000,2025-08-10T16:45:28.265243,3000,blimp_overall,0.5343283582089552,6700.0,,
checkpoint-3083,2025-08-10T16:46:59.942452,3083,blimp_overall,0.5329850746268656,6700.0,,
checkpoint-3166,2025-08-10T16:48:31.987567,3166,blimp_overall,0.5443283582089552,6700.0,,
checkpoint-3249,2025-08-10T16:50:03.899866,3249,blimp_overall,0.5408955223880597,6700.0,,
