checkpoint,timestamp,step,metric,value,n_samples,phenomenon,condition
checkpoint-26,2025-08-10T15:30:15.324634,26,blimp_overall,0.5437313432835821,6700.0,,
checkpoint-26,2025-08-10T15:30:15.324634,26,blimp_anaphor_agreement,0.625,,anaphor_agreement,
checkpoint-26,2025-08-10T15:30:15.324634,26,blimp_argument_structure,0.5014285714285714,,argument_structure,
checkpoint-26,2025-08-10T15:30:15.324634,26,blimp_binding,0.5257142857142857,,binding,
checkpoint-26,2025-08-10T15:30:15.324634,26,blimp_control_raising,0.516,,control_raising,
checkpoint-26,2025-08-10T15:30:15.324634,26,blimp_determiner_noun_agreement,0.51625,,determiner_noun_agreement,
checkpoint-26,2025-08-10T15:30:15.324634,26,blimp_ellipsis,0.48,,ellipsis,
checkpoint-26,2025-08-10T15:30:15.324634,26,blimp_filler_gap_dependency,0.5314285714285715,,filler_gap_dependency,
checkpoint-26,2025-08-10T15:30:15.324634,26,blimp_irregular_forms,0.425,,irregular_forms,
checkpoint-26,2025-08-10T15:30:15.324634,26,blimp_island_effects,0.52125,,island_effects,
checkpoint-26,2025-08-10T15:30:15.324634,26,blimp_npi_licensing,0.8028571428571428,,npi_licensing,
checkpoint-26,2025-08-10T15:30:15.324634,26,blimp_quantifiers,0.61,,quantifiers,
checkpoint-26,2025-08-10T15:30:15.324634,26,blimp_s-selection,0.39,,s-selection,
checkpoint-26,2025-08-10T15:30:15.324634,26,blimp_subject_verb_agreement,0.45666666666666667,,subject_verb_agreement,
checkpoint-26,2025-08-10T15:30:15.324634,26,null_subject_overt_pref,0.47,100.0,,
checkpoint-26,2025-08-10T15:30:15.324634,26,null_subject_surprisal_diff,-0.01567934335653133,100.0,,
checkpoint-26,2025-08-10T15:30:15.324634,26,null_subject_1a_3rdSG_overt_pref,0.3333333333333333,,,1a_3rdSG
checkpoint-26,2025-08-10T15:30:15.324634,26,null_subject_1b_3rdPL_overt_pref,0.6666666666666666,,,1b_3rdPL
checkpoint-26,2025-08-10T15:30:15.324634,26,null_subject_2a_2ndSG_overt_pref,0.3333333333333333,,,2a_2ndSG
checkpoint-26,2025-08-10T15:30:15.324634,26,null_subject_2b_2ndPL_overt_pref,0.7,,,2b_2ndPL
checkpoint-26,2025-08-10T15:30:15.324634,26,null_subject_3a_1stSg_overt_pref,0.5,,,3a_1stSg
checkpoint-26,2025-08-10T15:30:15.324634,26,null_subject_3b_1stPL_overt_pref,0.3333333333333333,,,3b_1stPL
checkpoint-26,2025-08-10T15:30:15.324634,26,null_subject_4a_subject_control_overt_pref,0.0,,,4a_subject_control
checkpoint-26,2025-08-10T15:30:15.324634,26,null_subject_4b_object_control_overt_pref,0.5,,,4b_object_control
checkpoint-26,2025-08-10T15:30:15.324634,26,null_subject_5a_expletive_seems_overt_pref,0.6666666666666666,,,5a_expletive_seems
checkpoint-26,2025-08-10T15:30:15.324634,26,null_subject_5b_expletive_be_overt_pref,0.6666666666666666,,,5b_expletive_be
checkpoint-26,2025-08-10T15:30:15.324634,26,null_subject_6_long_distance_binding_overt_pref,0.16666666666666666,,,6_long_distance_binding
checkpoint-26,2025-08-10T15:30:15.324634,26,null_subject_7a_conjunction_no_topic_shift_overt_pref,0.6666666666666666,,,7a_conjunction_no_topic_shift
checkpoint-26,2025-08-10T15:30:15.324634,26,null_subject_7b_conjunction_topic_shift_overt_pref,0.5,,,7b_conjunction_topic_shift
checkpoint-53,2025-08-10T15:31:56.257223,53,blimp_overall,0.5471641791044776,6700.0,,
checkpoint-53,2025-08-10T15:31:56.257223,53,blimp_anaphor_agreement,0.6,,anaphor_agreement,
checkpoint-53,2025-08-10T15:31:56.257223,53,blimp_argument_structure,0.4942857142857143,,argument_structure,
checkpoint-53,2025-08-10T15:31:56.257223,53,blimp_binding,0.5314285714285715,,binding,
checkpoint-53,2025-08-10T15:31:56.257223,53,blimp_control_raising,0.526,,control_raising,
checkpoint-53,2025-08-10T15:31:56.257223,53,blimp_determiner_noun_agreement,0.5225,,determiner_noun_agreement,
checkpoint-53,2025-08-10T15:31:56.257223,53,blimp_ellipsis,0.495,,ellipsis,
checkpoint-53,2025-08-10T15:31:56.257223,53,blimp_filler_gap_dependency,0.5671428571428572,,filler_gap_dependency,
checkpoint-53,2025-08-10T15:31:56.257223,53,blimp_irregular_forms,0.405,,irregular_forms,
checkpoint-53,2025-08-10T15:31:56.257223,53,blimp_island_effects,0.535,,island_effects,
checkpoint-53,2025-08-10T15:31:56.257223,53,blimp_npi_licensing,0.7914285714285715,,npi_licensing,
checkpoint-53,2025-08-10T15:31:56.257223,53,blimp_quantifiers,0.585,,quantifiers,
checkpoint-53,2025-08-10T15:31:56.257223,53,blimp_s-selection,0.395,,s-selection,
checkpoint-53,2025-08-10T15:31:56.257223,53,blimp_subject_verb_agreement,0.4583333333333333,,subject_verb_agreement,
checkpoint-53,2025-08-10T15:31:56.257223,53,null_subject_overt_pref,0.5,100.0,,
checkpoint-53,2025-08-10T15:31:56.257223,53,null_subject_surprisal_diff,-0.020093902731311352,100.0,,
checkpoint-53,2025-08-10T15:31:56.257223,53,null_subject_1a_3rdSG_overt_pref,0.16666666666666666,,,1a_3rdSG
checkpoint-53,2025-08-10T15:31:56.257223,53,null_subject_1b_3rdPL_overt_pref,0.6666666666666666,,,1b_3rdPL
checkpoint-53,2025-08-10T15:31:56.257223,53,null_subject_2a_2ndSG_overt_pref,0.8333333333333334,,,2a_2ndSG
checkpoint-53,2025-08-10T15:31:56.257223,53,null_subject_2b_2ndPL_overt_pref,0.6,,,2b_2ndPL
checkpoint-53,2025-08-10T15:31:56.257223,53,null_subject_3a_1stSg_overt_pref,0.5,,,3a_1stSg
checkpoint-53,2025-08-10T15:31:56.257223,53,null_subject_3b_1stPL_overt_pref,0.3333333333333333,,,3b_1stPL
checkpoint-53,2025-08-10T15:31:56.257223,53,null_subject_4a_subject_control_overt_pref,0.0,,,4a_subject_control
checkpoint-53,2025-08-10T15:31:56.257223,53,null_subject_4b_object_control_overt_pref,0.5,,,4b_object_control
checkpoint-53,2025-08-10T15:31:56.257223,53,null_subject_5a_expletive_seems_overt_pref,0.5,,,5a_expletive_seems
checkpoint-53,2025-08-10T15:31:56.257223,53,null_subject_5b_expletive_be_overt_pref,1.0,,,5b_expletive_be
checkpoint-53,2025-08-10T15:31:56.257223,53,null_subject_6_long_distance_binding_overt_pref,0.16666666666666666,,,6_long_distance_binding
checkpoint-53,2025-08-10T15:31:56.257223,53,null_subject_7a_conjunction_no_topic_shift_overt_pref,0.5,,,7a_conjunction_no_topic_shift
checkpoint-53,2025-08-10T15:31:56.257223,53,null_subject_7b_conjunction_topic_shift_overt_pref,0.5,,,7b_conjunction_topic_shift
checkpoint-79,2025-08-10T15:33:31.249956,79,blimp_overall,0.5513432835820895,6700.0,,
checkpoint-79,2025-08-10T15:33:31.249956,79,blimp_anaphor_agreement,0.595,,anaphor_agreement,
checkpoint-79,2025-08-10T15:33:31.249956,79,blimp_argument_structure,0.49714285714285716,,argument_structure,
checkpoint-79,2025-08-10T15:33:31.249956,79,blimp_binding,0.5257142857142857,,binding,
checkpoint-79,2025-08-10T15:33:31.249956,79,blimp_control_raising,0.498,,control_raising,
checkpoint-79,2025-08-10T15:33:31.249956,79,blimp_determiner_noun_agreement,0.5225,,determiner_noun_agreement,
checkpoint-79,2025-08-10T15:33:31.249956,79,blimp_ellipsis,0.48,,ellipsis,
checkpoint-79,2025-08-10T15:33:31.249956,79,blimp_filler_gap_dependency,0.6471428571428571,,filler_gap_dependency,
checkpoint-79,2025-08-10T15:33:31.249956,79,blimp_irregular_forms,0.385,,irregular_forms,
checkpoint-79,2025-08-10T15:33:31.249956,79,blimp_island_effects,0.5675,,island_effects,
checkpoint-79,2025-08-10T15:33:31.249956,79,blimp_npi_licensing,0.7371428571428571,,npi_licensing,
checkpoint-79,2025-08-10T15:33:31.249956,79,blimp_quantifiers,0.5775,,quantifiers,
checkpoint-79,2025-08-10T15:33:31.249956,79,blimp_s-selection,0.455,,s-selection,
checkpoint-79,2025-08-10T15:33:31.249956,79,blimp_subject_verb_agreement,0.45666666666666667,,subject_verb_agreement,
checkpoint-79,2025-08-10T15:33:31.249956,79,null_subject_overt_pref,0.46,100.0,,
checkpoint-79,2025-08-10T15:33:31.249956,79,null_subject_surprisal_diff,-0.03674622340884527,100.0,,
checkpoint-79,2025-08-10T15:33:31.249956,79,null_subject_1a_3rdSG_overt_pref,0.16666666666666666,,,1a_3rdSG
checkpoint-79,2025-08-10T15:33:31.249956,79,null_subject_1b_3rdPL_overt_pref,0.5833333333333334,,,1b_3rdPL
checkpoint-79,2025-08-10T15:33:31.249956,79,null_subject_2a_2ndSG_overt_pref,0.6666666666666666,,,2a_2ndSG
checkpoint-79,2025-08-10T15:33:31.249956,79,null_subject_2b_2ndPL_overt_pref,0.4,,,2b_2ndPL
checkpoint-79,2025-08-10T15:33:31.249956,79,null_subject_3a_1stSg_overt_pref,0.6666666666666666,,,3a_1stSg
checkpoint-79,2025-08-10T15:33:31.249956,79,null_subject_3b_1stPL_overt_pref,0.16666666666666666,,,3b_1stPL
checkpoint-79,2025-08-10T15:33:31.249956,79,null_subject_4a_subject_control_overt_pref,0.0,,,4a_subject_control
checkpoint-79,2025-08-10T15:33:31.249956,79,null_subject_4b_object_control_overt_pref,0.6666666666666666,,,4b_object_control
checkpoint-79,2025-08-10T15:33:31.249956,79,null_subject_5a_expletive_seems_overt_pref,0.8333333333333334,,,5a_expletive_seems
checkpoint-79,2025-08-10T15:33:31.249956,79,null_subject_5b_expletive_be_overt_pref,1.0,,,5b_expletive_be
checkpoint-79,2025-08-10T15:33:31.249956,79,null_subject_6_long_distance_binding_overt_pref,0.16666666666666666,,,6_long_distance_binding
checkpoint-79,2025-08-10T15:33:31.249956,79,null_subject_7a_conjunction_no_topic_shift_overt_pref,0.5,,,7a_conjunction_no_topic_shift
checkpoint-79,2025-08-10T15:33:31.249956,79,null_subject_7b_conjunction_topic_shift_overt_pref,0.16666666666666666,,,7b_conjunction_topic_shift
checkpoint-105,2025-08-10T15:35:06.526542,105,blimp_overall,0.5546268656716418,6700.0,,
checkpoint-105,2025-08-10T15:35:06.526542,105,blimp_anaphor_agreement,0.64,,anaphor_agreement,
checkpoint-105,2025-08-10T15:35:06.526542,105,blimp_argument_structure,0.51,,argument_structure,
checkpoint-105,2025-08-10T15:35:06.526542,105,blimp_binding,0.49714285714285716,,binding,
checkpoint-105,2025-08-10T15:35:06.526542,105,blimp_control_raising,0.502,,control_raising,
checkpoint-105,2025-08-10T15:35:06.526542,105,blimp_determiner_noun_agreement,0.53375,,determiner_noun_agreement,
checkpoint-105,2025-08-10T15:35:06.526542,105,blimp_ellipsis,0.5,,ellipsis,
checkpoint-105,2025-08-10T15:35:06.526542,105,blimp_filler_gap_dependency,0.68,,filler_gap_dependency,
checkpoint-105,2025-08-10T15:35:06.526542,105,blimp_irregular_forms,0.395,,irregular_forms,
checkpoint-105,2025-08-10T15:35:06.526542,105,blimp_island_effects,0.58375,,island_effects,
checkpoint-105,2025-08-10T15:35:06.526542,105,blimp_npi_licensing,0.69,,npi_licensing,
checkpoint-105,2025-08-10T15:35:06.526542,105,blimp_quantifiers,0.5575,,quantifiers,
checkpoint-105,2025-08-10T15:35:06.526542,105,blimp_s-selection,0.51,,s-selection,
checkpoint-105,2025-08-10T15:35:06.526542,105,blimp_subject_verb_agreement,0.4583333333333333,,subject_verb_agreement,
checkpoint-105,2025-08-10T15:35:06.526542,105,null_subject_overt_pref,0.4,100.0,,
checkpoint-105,2025-08-10T15:35:06.526542,105,null_subject_surprisal_diff,-0.06288451575807602,100.0,,
checkpoint-105,2025-08-10T15:35:06.526542,105,null_subject_1a_3rdSG_overt_pref,0.25,,,1a_3rdSG
checkpoint-105,2025-08-10T15:35:06.526542,105,null_subject_1b_3rdPL_overt_pref,0.5,,,1b_3rdPL
checkpoint-105,2025-08-10T15:35:06.526542,105,null_subject_2a_2ndSG_overt_pref,0.5833333333333334,,,2a_2ndSG
checkpoint-105,2025-08-10T15:35:06.526542,105,null_subject_2b_2ndPL_overt_pref,0.1,,,2b_2ndPL
checkpoint-105,2025-08-10T15:35:06.526542,105,null_subject_3a_1stSg_overt_pref,1.0,,,3a_1stSg
checkpoint-105,2025-08-10T15:35:06.526542,105,null_subject_3b_1stPL_overt_pref,0.16666666666666666,,,3b_1stPL
checkpoint-105,2025-08-10T15:35:06.526542,105,null_subject_4a_subject_control_overt_pref,0.16666666666666666,,,4a_subject_control
checkpoint-105,2025-08-10T15:35:06.526542,105,null_subject_4b_object_control_overt_pref,0.5,,,4b_object_control
checkpoint-105,2025-08-10T15:35:06.526542,105,null_subject_5a_expletive_seems_overt_pref,0.8333333333333334,,,5a_expletive_seems
checkpoint-105,2025-08-10T15:35:06.526542,105,null_subject_5b_expletive_be_overt_pref,0.8333333333333334,,,5b_expletive_be
checkpoint-105,2025-08-10T15:35:06.526542,105,null_subject_6_long_distance_binding_overt_pref,0.0,,,6_long_distance_binding
checkpoint-105,2025-08-10T15:35:06.526542,105,null_subject_7a_conjunction_no_topic_shift_overt_pref,0.16666666666666666,,,7a_conjunction_no_topic_shift
checkpoint-105,2025-08-10T15:35:06.526542,105,null_subject_7b_conjunction_topic_shift_overt_pref,0.16666666666666666,,,7b_conjunction_topic_shift
checkpoint-132,2025-08-10T15:36:41.701043,132,blimp_overall,0.5446268656716418,6700.0,,
checkpoint-132,2025-08-10T15:36:41.701043,132,blimp_anaphor_agreement,0.62,,anaphor_agreement,
checkpoint-132,2025-08-10T15:36:41.701043,132,blimp_argument_structure,0.5342857142857143,,argument_structure,
checkpoint-132,2025-08-10T15:36:41.701043,132,blimp_binding,0.4757142857142857,,binding,
checkpoint-132,2025-08-10T15:36:41.701043,132,blimp_control_raising,0.476,,control_raising,
checkpoint-132,2025-08-10T15:36:41.701043,132,blimp_determiner_noun_agreement,0.51375,,determiner_noun_agreement,
checkpoint-132,2025-08-10T15:36:41.701043,132,blimp_ellipsis,0.5,,ellipsis,
checkpoint-132,2025-08-10T15:36:41.701043,132,blimp_filler_gap_dependency,0.6971428571428572,,filler_gap_dependency,
checkpoint-132,2025-08-10T15:36:41.701043,132,blimp_irregular_forms,0.41,,irregular_forms,
checkpoint-132,2025-08-10T15:36:41.701043,132,blimp_island_effects,0.5925,,island_effects,
checkpoint-132,2025-08-10T15:36:41.701043,132,blimp_npi_licensing,0.6185714285714285,,npi_licensing,
checkpoint-132,2025-08-10T15:36:41.701043,132,blimp_quantifiers,0.49,,quantifiers,
checkpoint-132,2025-08-10T15:36:41.701043,132,blimp_s-selection,0.565,,s-selection,
checkpoint-132,2025-08-10T15:36:41.701043,132,blimp_subject_verb_agreement,0.4716666666666667,,subject_verb_agreement,
checkpoint-132,2025-08-10T15:36:41.701043,132,null_subject_overt_pref,0.37,100.0,,
checkpoint-132,2025-08-10T15:36:41.701043,132,null_subject_surprisal_diff,-0.09345891856913671,100.0,,
checkpoint-132,2025-08-10T15:36:41.701043,132,null_subject_1a_3rdSG_overt_pref,0.16666666666666666,,,1a_3rdSG
checkpoint-132,2025-08-10T15:36:41.701043,132,null_subject_1b_3rdPL_overt_pref,0.4166666666666667,,,1b_3rdPL
checkpoint-132,2025-08-10T15:36:41.701043,132,null_subject_2a_2ndSG_overt_pref,0.5833333333333334,,,2a_2ndSG
checkpoint-132,2025-08-10T15:36:41.701043,132,null_subject_2b_2ndPL_overt_pref,0.1,,,2b_2ndPL
checkpoint-132,2025-08-10T15:36:41.701043,132,null_subject_3a_1stSg_overt_pref,0.8333333333333334,,,3a_1stSg
checkpoint-132,2025-08-10T15:36:41.701043,132,null_subject_3b_1stPL_overt_pref,0.16666666666666666,,,3b_1stPL
checkpoint-132,2025-08-10T15:36:41.701043,132,null_subject_4a_subject_control_overt_pref,0.16666666666666666,,,4a_subject_control
checkpoint-132,2025-08-10T15:36:41.701043,132,null_subject_4b_object_control_overt_pref,0.5,,,4b_object_control
checkpoint-132,2025-08-10T15:36:41.701043,132,null_subject_5a_expletive_seems_overt_pref,0.8333333333333334,,,5a_expletive_seems
checkpoint-132,2025-08-10T15:36:41.701043,132,null_subject_5b_expletive_be_overt_pref,0.8333333333333334,,,5b_expletive_be
checkpoint-132,2025-08-10T15:36:41.701043,132,null_subject_6_long_distance_binding_overt_pref,0.0,,,6_long_distance_binding
checkpoint-132,2025-08-10T15:36:41.701043,132,null_subject_7a_conjunction_no_topic_shift_overt_pref,0.16666666666666666,,,7a_conjunction_no_topic_shift
checkpoint-132,2025-08-10T15:36:41.701043,132,null_subject_7b_conjunction_topic_shift_overt_pref,0.16666666666666666,,,7b_conjunction_topic_shift
checkpoint-158,2025-08-10T15:38:16.558290,158,blimp_overall,0.5286567164179105,6700.0,,
checkpoint-158,2025-08-10T15:38:16.558290,158,blimp_anaphor_agreement,0.575,,anaphor_agreement,
checkpoint-158,2025-08-10T15:38:16.558290,158,blimp_argument_structure,0.53,,argument_structure,
checkpoint-158,2025-08-10T15:38:16.558290,158,blimp_binding,0.4714285714285714,,binding,
checkpoint-158,2025-08-10T15:38:16.558290,158,blimp_control_raising,0.48,,control_raising,
checkpoint-158,2025-08-10T15:38:16.558290,158,blimp_determiner_noun_agreement,0.50625,,determiner_noun_agreement,
checkpoint-158,2025-08-10T15:38:16.558290,158,blimp_ellipsis,0.525,,ellipsis,
checkpoint-158,2025-08-10T15:38:16.558290,158,blimp_filler_gap_dependency,0.7071428571428572,,filler_gap_dependency,
checkpoint-158,2025-08-10T15:38:16.558290,158,blimp_irregular_forms,0.415,,irregular_forms,
checkpoint-158,2025-08-10T15:38:16.558290,158,blimp_island_effects,0.5875,,island_effects,
checkpoint-158,2025-08-10T15:38:16.558290,158,blimp_npi_licensing,0.4928571428571429,,npi_licensing,
checkpoint-158,2025-08-10T15:38:16.558290,158,blimp_quantifiers,0.4425,,quantifiers,
checkpoint-158,2025-08-10T15:38:16.558290,158,blimp_s-selection,0.585,,s-selection,
checkpoint-158,2025-08-10T15:38:16.558290,158,blimp_subject_verb_agreement,0.4816666666666667,,subject_verb_agreement,
checkpoint-158,2025-08-10T15:38:16.558290,158,null_subject_overt_pref,0.37,100.0,,
checkpoint-158,2025-08-10T15:38:16.558290,158,null_subject_surprisal_diff,-0.09094823923816454,100.0,,
checkpoint-158,2025-08-10T15:38:16.558290,158,null_subject_1a_3rdSG_overt_pref,0.16666666666666666,,,1a_3rdSG
checkpoint-158,2025-08-10T15:38:16.558290,158,null_subject_1b_3rdPL_overt_pref,0.4166666666666667,,,1b_3rdPL
checkpoint-158,2025-08-10T15:38:16.558290,158,null_subject_2a_2ndSG_overt_pref,0.5833333333333334,,,2a_2ndSG
checkpoint-158,2025-08-10T15:38:16.558290,158,null_subject_2b_2ndPL_overt_pref,0.3,,,2b_2ndPL
checkpoint-158,2025-08-10T15:38:16.558290,158,null_subject_3a_1stSg_overt_pref,0.8333333333333334,,,3a_1stSg
checkpoint-158,2025-08-10T15:38:16.558290,158,null_subject_3b_1stPL_overt_pref,0.16666666666666666,,,3b_1stPL
checkpoint-158,2025-08-10T15:38:16.558290,158,null_subject_4a_subject_control_overt_pref,0.0,,,4a_subject_control
checkpoint-158,2025-08-10T15:38:16.558290,158,null_subject_4b_object_control_overt_pref,0.5,,,4b_object_control
checkpoint-158,2025-08-10T15:38:16.558290,158,null_subject_5a_expletive_seems_overt_pref,0.8333333333333334,,,5a_expletive_seems
checkpoint-158,2025-08-10T15:38:16.558290,158,null_subject_5b_expletive_be_overt_pref,0.8333333333333334,,,5b_expletive_be
checkpoint-158,2025-08-10T15:38:16.558290,158,null_subject_6_long_distance_binding_overt_pref,0.0,,,6_long_distance_binding
checkpoint-158,2025-08-10T15:38:16.558290,158,null_subject_7a_conjunction_no_topic_shift_overt_pref,0.0,,,7a_conjunction_no_topic_shift
checkpoint-158,2025-08-10T15:38:16.558290,158,null_subject_7b_conjunction_topic_shift_overt_pref,0.16666666666666666,,,7b_conjunction_topic_shift
checkpoint-184,2025-08-10T15:39:50.711757,184,blimp_overall,0.5213432835820896,6700.0,,
checkpoint-184,2025-08-10T15:39:50.711757,184,blimp_anaphor_agreement,0.545,,anaphor_agreement,
checkpoint-184,2025-08-10T15:39:50.711757,184,blimp_argument_structure,0.5142857142857142,,argument_structure,
checkpoint-184,2025-08-10T15:39:50.711757,184,blimp_binding,0.5314285714285715,,binding,
checkpoint-184,2025-08-10T15:39:50.711757,184,blimp_control_raising,0.48,,control_raising,
checkpoint-184,2025-08-10T15:39:50.711757,184,blimp_determiner_noun_agreement,0.495,,determiner_noun_agreement,
checkpoint-184,2025-08-10T15:39:50.711757,184,blimp_ellipsis,0.545,,ellipsis,
checkpoint-184,2025-08-10T15:39:50.711757,184,blimp_filler_gap_dependency,0.7085714285714285,,filler_gap_dependency,
checkpoint-184,2025-08-10T15:39:50.711757,184,blimp_irregular_forms,0.495,,irregular_forms,
checkpoint-184,2025-08-10T15:39:50.711757,184,blimp_island_effects,0.55375,,island_effects,
checkpoint-184,2025-08-10T15:39:50.711757,184,blimp_npi_licensing,0.42428571428571427,,npi_licensing,
checkpoint-184,2025-08-10T15:39:50.711757,184,blimp_quantifiers,0.4275,,quantifiers,
checkpoint-184,2025-08-10T15:39:50.711757,184,blimp_s-selection,0.59,,s-selection,
checkpoint-184,2025-08-10T15:39:50.711757,184,blimp_subject_verb_agreement,0.4716666666666667,,subject_verb_agreement,
checkpoint-184,2025-08-10T15:39:50.711757,184,null_subject_overt_pref,0.39,100.0,,
checkpoint-184,2025-08-10T15:39:50.711757,184,null_subject_surprisal_diff,-0.06184740269414297,100.0,,
checkpoint-184,2025-08-10T15:39:50.711757,184,null_subject_1a_3rdSG_overt_pref,0.16666666666666666,,,1a_3rdSG
checkpoint-184,2025-08-10T15:39:50.711757,184,null_subject_1b_3rdPL_overt_pref,0.4166666666666667,,,1b_3rdPL
checkpoint-184,2025-08-10T15:39:50.711757,184,null_subject_2a_2ndSG_overt_pref,0.5833333333333334,,,2a_2ndSG
checkpoint-184,2025-08-10T15:39:50.711757,184,null_subject_2b_2ndPL_overt_pref,0.6,,,2b_2ndPL
checkpoint-184,2025-08-10T15:39:50.711757,184,null_subject_3a_1stSg_overt_pref,0.8333333333333334,,,3a_1stSg
checkpoint-184,2025-08-10T15:39:50.711757,184,null_subject_3b_1stPL_overt_pref,0.16666666666666666,,,3b_1stPL
checkpoint-184,2025-08-10T15:39:50.711757,184,null_subject_4a_subject_control_overt_pref,0.0,,,4a_subject_control
checkpoint-184,2025-08-10T15:39:50.711757,184,null_subject_4b_object_control_overt_pref,0.3333333333333333,,,4b_object_control
checkpoint-184,2025-08-10T15:39:50.711757,184,null_subject_5a_expletive_seems_overt_pref,0.8333333333333334,,,5a_expletive_seems
checkpoint-184,2025-08-10T15:39:50.711757,184,null_subject_5b_expletive_be_overt_pref,0.8333333333333334,,,5b_expletive_be
checkpoint-184,2025-08-10T15:39:50.711757,184,null_subject_6_long_distance_binding_overt_pref,0.0,,,6_long_distance_binding
checkpoint-184,2025-08-10T15:39:50.711757,184,null_subject_7a_conjunction_no_topic_shift_overt_pref,0.0,,,7a_conjunction_no_topic_shift
checkpoint-184,2025-08-10T15:39:50.711757,184,null_subject_7b_conjunction_topic_shift_overt_pref,0.16666666666666666,,,7b_conjunction_topic_shift
checkpoint-211,2025-08-10T15:41:24.177334,211,blimp_overall,0.5274626865671642,6700.0,,
checkpoint-211,2025-08-10T15:41:24.177334,211,blimp_anaphor_agreement,0.5,,anaphor_agreement,
checkpoint-211,2025-08-10T15:41:24.177334,211,blimp_argument_structure,0.5242857142857142,,argument_structure,
checkpoint-211,2025-08-10T15:41:24.177334,211,blimp_binding,0.5642857142857143,,binding,
checkpoint-211,2025-08-10T15:41:24.177334,211,blimp_control_raising,0.504,,control_raising,
checkpoint-211,2025-08-10T15:41:24.177334,211,blimp_determiner_noun_agreement,0.50375,,determiner_noun_agreement,
checkpoint-211,2025-08-10T15:41:24.177334,211,blimp_ellipsis,0.555,,ellipsis,
checkpoint-211,2025-08-10T15:41:24.177334,211,blimp_filler_gap_dependency,0.7114285714285714,,filler_gap_dependency,
checkpoint-211,2025-08-10T15:41:24.177334,211,blimp_irregular_forms,0.505,,irregular_forms,
checkpoint-211,2025-08-10T15:41:24.177334,211,blimp_island_effects,0.54375,,island_effects,
checkpoint-211,2025-08-10T15:41:24.177334,211,blimp_npi_licensing,0.4228571428571429,,npi_licensing,
checkpoint-211,2025-08-10T15:41:24.177334,211,blimp_quantifiers,0.43,,quantifiers,
checkpoint-211,2025-08-10T15:41:24.177334,211,blimp_s-selection,0.6,,s-selection,
checkpoint-211,2025-08-10T15:41:24.177334,211,blimp_subject_verb_agreement,0.47333333333333333,,subject_verb_agreement,
