checkpoint,timestamp,step,metric,value,n_samples,phenomenon,condition
checkpoint-0,2025-08-10T11:45:44.376642,0,blimp_overall,0.5073134328358209,6700.0,,
checkpoint-29,2025-08-10T11:47:15.982759,29,blimp_overall,0.5056716417910447,6700.0,,
checkpoint-59,2025-08-10T11:48:47.924924,59,blimp_overall,0.5053731343283582,6700.0,,
checkpoint-88,2025-08-10T11:50:21.654839,88,blimp_overall,0.5029850746268657,6700.0,,
checkpoint-117,2025-08-10T11:51:53.326719,117,blimp_overall,0.5091044776119403,6700.0,,
checkpoint-147,2025-08-10T11:53:27.655170,147,blimp_overall,0.5185074626865671,6700.0,,
checkpoint-176,2025-08-10T11:55:00.572942,176,blimp_overall,0.5283582089552239,6700.0,,
checkpoint-205,2025-08-10T11:56:33.132756,205,blimp_overall,0.53,6700.0,,
checkpoint-235,2025-08-10T11:58:03.735848,235,blimp_overall,0.5325373134328358,6700.0,,
checkpoint-264,2025-08-10T11:59:34.420676,264,blimp_overall,0.5288059701492537,6700.0,,
checkpoint-293,2025-08-10T12:01:06.289635,293,blimp_overall,0.5219402985074627,6700.0,,
checkpoint-322,2025-08-10T12:02:39.773577,322,blimp_overall,0.5229850746268657,6700.0,,
checkpoint-352,2025-08-10T12:04:13.132512,352,blimp_overall,0.5247761194029851,6700.0,,
checkpoint-381,2025-08-10T12:05:46.850583,381,blimp_overall,0.5316417910447762,6700.0,,
checkpoint-410,2025-08-10T12:07:17.621965,410,blimp_overall,0.5292537313432836,6700.0,,
checkpoint-440,2025-08-10T12:08:48.670228,440,blimp_overall,0.5246268656716417,6700.0,,
checkpoint-469,2025-08-10T12:10:24.595000,469,blimp_overall,0.5235820895522388,6700.0,,
checkpoint-498,2025-08-10T12:11:58.533847,498,blimp_overall,0.5208955223880597,6700.0,,
checkpoint-528,2025-08-10T12:13:31.999351,528,blimp_overall,0.5211940298507463,6700.0,,
checkpoint-557,2025-08-10T12:15:06.850017,557,blimp_overall,0.5202985074626866,6700.0,,
checkpoint-649,2025-08-10T12:16:38.734239,649,blimp_overall,0.5244776119402985,6700.0,,
checkpoint-741,2025-08-10T12:18:10.991488,741,blimp_overall,0.5291044776119403,6700.0,,
checkpoint-833,2025-08-10T12:19:43.048590,833,blimp_overall,0.5198507462686567,6700.0,,
checkpoint-925,2025-08-10T12:21:14.337825,925,blimp_overall,0.5132835820895523,6700.0,,
checkpoint-1017,2025-08-10T12:22:45.532469,1017,blimp_overall,0.5140298507462686,6700.0,,
checkpoint-1114,2025-08-10T12:24:17.099323,1114,blimp_overall,0.5095522388059701,6700.0,,
checkpoint-1206,2025-08-10T12:25:53.621960,1206,blimp_overall,0.5091044776119403,6700.0,,
checkpoint-1298,2025-08-10T12:27:24.403535,1298,blimp_overall,0.5171641791044777,6700.0,,
checkpoint-1390,2025-08-10T12:28:55.670452,1390,blimp_overall,0.5192537313432836,6700.0,,
checkpoint-1482,2025-08-10T12:30:27.922059,1482,blimp_overall,0.5088059701492538,6700.0,,
checkpoint-1574,2025-08-10T12:32:03.126669,1574,blimp_overall,0.5074626865671642,6700.0,,
checkpoint-1671,2025-08-10T12:33:37.672036,1671,blimp_overall,0.5028358208955224,6700.0,,
checkpoint-1763,2025-08-10T12:35:12.544298,1763,blimp_overall,0.5031343283582089,6700.0,,
checkpoint-1855,2025-08-10T12:36:47.826157,1855,blimp_overall,0.5050746268656716,6700.0,,
checkpoint-1947,2025-08-10T12:38:22.490448,1947,blimp_overall,0.5107462686567165,6700.0,,
checkpoint-2039,2025-08-10T12:39:56.499406,2039,blimp_overall,0.5225373134328358,6700.0,,
checkpoint-2131,2025-08-10T12:41:30.094809,2131,blimp_overall,0.5194029850746269,6700.0,,
checkpoint-2228,2025-08-10T12:43:03.735518,2228,blimp_overall,0.5168656716417911,6700.0,,
checkpoint-2320,2025-08-10T12:44:36.764419,2320,blimp_overall,0.5197014925373135,6700.0,,
checkpoint-2412,2025-08-10T12:46:10.519481,2412,blimp_overall,0.521044776119403,6700.0,,
checkpoint-2504,2025-08-10T12:47:44.237108,2504,blimp_overall,0.5395522388059701,6700.0,,
checkpoint-2596,2025-08-10T12:49:18.397013,2596,blimp_overall,0.5359701492537313,6700.0,,
checkpoint-2688,2025-08-10T12:50:52.157404,2688,blimp_overall,0.5417910447761194,6700.0,,
checkpoint-2785,2025-08-10T12:52:25.777708,2785,blimp_overall,0.536865671641791,6700.0,,
checkpoint-2877,2025-08-10T12:53:59.257297,2877,blimp_overall,0.5459701492537313,6700.0,,
checkpoint-2969,2025-08-10T12:55:32.737010,2969,blimp_overall,0.5450746268656717,6700.0,,
