checkpoint,timestamp,step,metric,value,n_samples,phenomenon,condition
checkpoint-0,2025-08-10T11:45:44.376642,0,blimp_overall,0.5073134328358209,6700.0,,
checkpoint-0,2025-08-10T11:45:44.376642,0,blimp_anaphor_agreement,0.39,,anaphor_agreement,
checkpoint-0,2025-08-10T11:45:44.376642,0,blimp_argument_structure,0.52,,argument_structure,
checkpoint-0,2025-08-10T11:45:44.376642,0,blimp_binding,0.5171428571428571,,binding,
checkpoint-0,2025-08-10T11:45:44.376642,0,blimp_control_raising,0.516,,control_raising,
checkpoint-0,2025-08-10T11:45:44.376642,0,blimp_determiner_noun_agreement,0.4475,,determiner_noun_agreement,
checkpoint-0,2025-08-10T11:45:44.376642,0,blimp_ellipsis,0.53,,ellipsis,
checkpoint-0,2025-08-10T11:45:44.376642,0,blimp_filler_gap_dependency,0.5342857142857143,,filler_gap_dependency,
checkpoint-0,2025-08-10T11:45:44.376642,0,blimp_irregular_forms,0.375,,irregular_forms,
checkpoint-0,2025-08-10T11:45:44.376642,0,blimp_island_effects,0.565,,island_effects,
checkpoint-0,2025-08-10T11:45:44.376642,0,blimp_npi_licensing,0.5214285714285715,,npi_licensing,
checkpoint-0,2025-08-10T11:45:44.376642,0,blimp_quantifiers,0.4975,,quantifiers,
checkpoint-0,2025-08-10T11:45:44.376642,0,blimp_s-selection,0.5,,s-selection,
checkpoint-0,2025-08-10T11:45:44.376642,0,blimp_subject_verb_agreement,0.5133333333333333,,subject_verb_agreement,
checkpoint-0,2025-08-10T11:45:44.376642,0,null_subject_overt_pref,0.43,100.0,,
checkpoint-0,2025-08-10T11:45:44.376642,0,null_subject_surprisal_diff,-0.004688496761480199,100.0,,
checkpoint-0,2025-08-10T11:45:44.376642,0,null_subject_1a_3rdSG_overt_pref,0.3333333333333333,,,1a_3rdSG
checkpoint-0,2025-08-10T11:45:44.376642,0,null_subject_1b_3rdPL_overt_pref,0.6666666666666666,,,1b_3rdPL
checkpoint-0,2025-08-10T11:45:44.376642,0,null_subject_2a_2ndSG_overt_pref,0.3333333333333333,,,2a_2ndSG
checkpoint-0,2025-08-10T11:45:44.376642,0,null_subject_2b_2ndPL_overt_pref,0.5,,,2b_2ndPL
checkpoint-0,2025-08-10T11:45:44.376642,0,null_subject_3a_1stSg_overt_pref,0.5,,,3a_1stSg
checkpoint-0,2025-08-10T11:45:44.376642,0,null_subject_3b_1stPL_overt_pref,0.5,,,3b_1stPL
checkpoint-0,2025-08-10T11:45:44.376642,0,null_subject_4a_subject_control_overt_pref,0.3333333333333333,,,4a_subject_control
checkpoint-0,2025-08-10T11:45:44.376642,0,null_subject_4b_object_control_overt_pref,0.5,,,4b_object_control
checkpoint-0,2025-08-10T11:45:44.376642,0,null_subject_5a_expletive_seems_overt_pref,0.16666666666666666,,,5a_expletive_seems
checkpoint-0,2025-08-10T11:45:44.376642,0,null_subject_5b_expletive_be_overt_pref,0.3333333333333333,,,5b_expletive_be
checkpoint-0,2025-08-10T11:45:44.376642,0,null_subject_6_long_distance_binding_overt_pref,0.16666666666666666,,,6_long_distance_binding
checkpoint-0,2025-08-10T11:45:44.376642,0,null_subject_7a_conjunction_no_topic_shift_overt_pref,0.5,,,7a_conjunction_no_topic_shift
checkpoint-0,2025-08-10T11:45:44.376642,0,null_subject_7b_conjunction_topic_shift_overt_pref,0.6666666666666666,,,7b_conjunction_topic_shift
checkpoint-29,2025-08-10T11:47:15.982759,29,blimp_overall,0.5056716417910447,6700.0,,
checkpoint-29,2025-08-10T11:47:15.982759,29,blimp_anaphor_agreement,0.39,,anaphor_agreement,
checkpoint-29,2025-08-10T11:47:15.982759,29,blimp_argument_structure,0.5171428571428571,,argument_structure,
checkpoint-29,2025-08-10T11:47:15.982759,29,blimp_binding,0.5185714285714286,,binding,
checkpoint-29,2025-08-10T11:47:15.982759,29,blimp_control_raising,0.51,,control_raising,
checkpoint-29,2025-08-10T11:47:15.982759,29,blimp_determiner_noun_agreement,0.445,,determiner_noun_agreement,
checkpoint-29,2025-08-10T11:47:15.982759,29,blimp_ellipsis,0.53,,ellipsis,
checkpoint-29,2025-08-10T11:47:15.982759,29,blimp_filler_gap_dependency,0.5328571428571428,,filler_gap_dependency,
checkpoint-29,2025-08-10T11:47:15.982759,29,blimp_irregular_forms,0.385,,irregular_forms,
checkpoint-29,2025-08-10T11:47:15.982759,29,blimp_island_effects,0.56625,,island_effects,
checkpoint-29,2025-08-10T11:47:15.982759,29,blimp_npi_licensing,0.51,,npi_licensing,
checkpoint-29,2025-08-10T11:47:15.982759,29,blimp_quantifiers,0.495,,quantifiers,
checkpoint-29,2025-08-10T11:47:15.982759,29,blimp_s-selection,0.505,,s-selection,
checkpoint-29,2025-08-10T11:47:15.982759,29,blimp_subject_verb_agreement,0.515,,subject_verb_agreement,
checkpoint-29,2025-08-10T11:47:15.982759,29,null_subject_overt_pref,0.41,100.0,,
checkpoint-29,2025-08-10T11:47:15.982759,29,null_subject_surprisal_diff,-0.009180380608870173,100.0,,
checkpoint-29,2025-08-10T11:47:15.982759,29,null_subject_1a_3rdSG_overt_pref,0.25,,,1a_3rdSG
checkpoint-29,2025-08-10T11:47:15.982759,29,null_subject_1b_3rdPL_overt_pref,0.6666666666666666,,,1b_3rdPL
checkpoint-29,2025-08-10T11:47:15.982759,29,null_subject_2a_2ndSG_overt_pref,0.3333333333333333,,,2a_2ndSG
checkpoint-29,2025-08-10T11:47:15.982759,29,null_subject_2b_2ndPL_overt_pref,0.5,,,2b_2ndPL
checkpoint-29,2025-08-10T11:47:15.982759,29,null_subject_3a_1stSg_overt_pref,0.5,,,3a_1stSg
checkpoint-29,2025-08-10T11:47:15.982759,29,null_subject_3b_1stPL_overt_pref,0.5,,,3b_1stPL
checkpoint-29,2025-08-10T11:47:15.982759,29,null_subject_4a_subject_control_overt_pref,0.3333333333333333,,,4a_subject_control
checkpoint-29,2025-08-10T11:47:15.982759,29,null_subject_4b_object_control_overt_pref,0.5,,,4b_object_control
checkpoint-29,2025-08-10T11:47:15.982759,29,null_subject_5a_expletive_seems_overt_pref,0.16666666666666666,,,5a_expletive_seems
checkpoint-29,2025-08-10T11:47:15.982759,29,null_subject_5b_expletive_be_overt_pref,0.3333333333333333,,,5b_expletive_be
checkpoint-29,2025-08-10T11:47:15.982759,29,null_subject_6_long_distance_binding_overt_pref,0.16666666666666666,,,6_long_distance_binding
checkpoint-29,2025-08-10T11:47:15.982759,29,null_subject_7a_conjunction_no_topic_shift_overt_pref,0.5,,,7a_conjunction_no_topic_shift
checkpoint-29,2025-08-10T11:47:15.982759,29,null_subject_7b_conjunction_topic_shift_overt_pref,0.5,,,7b_conjunction_topic_shift
checkpoint-59,2025-08-10T11:48:47.924924,59,blimp_overall,0.5053731343283582,6700.0,,
checkpoint-59,2025-08-10T11:48:47.924924,59,blimp_anaphor_agreement,0.4,,anaphor_agreement,
checkpoint-59,2025-08-10T11:48:47.924924,59,blimp_argument_structure,0.5014285714285714,,argument_structure,
checkpoint-59,2025-08-10T11:48:47.924924,59,blimp_binding,0.5128571428571429,,binding,
checkpoint-59,2025-08-10T11:48:47.924924,59,blimp_control_raising,0.522,,control_raising,
checkpoint-59,2025-08-10T11:48:47.924924,59,blimp_determiner_noun_agreement,0.47875,,determiner_noun_agreement,
checkpoint-59,2025-08-10T11:48:47.924924,59,blimp_ellipsis,0.52,,ellipsis,
checkpoint-59,2025-08-10T11:48:47.924924,59,blimp_filler_gap_dependency,0.5557142857142857,,filler_gap_dependency,
checkpoint-59,2025-08-10T11:48:47.924924,59,blimp_irregular_forms,0.39,,irregular_forms,
checkpoint-59,2025-08-10T11:48:47.924924,59,blimp_island_effects,0.57125,,island_effects,
checkpoint-59,2025-08-10T11:48:47.924924,59,blimp_npi_licensing,0.4614285714285714,,npi_licensing,
checkpoint-59,2025-08-10T11:48:47.924924,59,blimp_quantifiers,0.4575,,quantifiers,
checkpoint-59,2025-08-10T11:48:47.924924,59,blimp_s-selection,0.56,,s-selection,
checkpoint-59,2025-08-10T11:48:47.924924,59,blimp_subject_verb_agreement,0.51,,subject_verb_agreement,
checkpoint-59,2025-08-10T11:48:47.924924,59,null_subject_overt_pref,0.38,100.0,,
checkpoint-59,2025-08-10T11:48:47.924924,59,null_subject_surprisal_diff,-0.03805194997716445,100.0,,
checkpoint-59,2025-08-10T11:48:47.924924,59,null_subject_1a_3rdSG_overt_pref,0.08333333333333333,,,1a_3rdSG
checkpoint-59,2025-08-10T11:48:47.924924,59,null_subject_1b_3rdPL_overt_pref,0.6666666666666666,,,1b_3rdPL
checkpoint-59,2025-08-10T11:48:47.924924,59,null_subject_2a_2ndSG_overt_pref,0.25,,,2a_2ndSG
checkpoint-59,2025-08-10T11:48:47.924924,59,null_subject_2b_2ndPL_overt_pref,0.2,,,2b_2ndPL
checkpoint-59,2025-08-10T11:48:47.924924,59,null_subject_3a_1stSg_overt_pref,0.5,,,3a_1stSg
checkpoint-59,2025-08-10T11:48:47.924924,59,null_subject_3b_1stPL_overt_pref,0.6666666666666666,,,3b_1stPL
checkpoint-59,2025-08-10T11:48:47.924924,59,null_subject_4a_subject_control_overt_pref,0.3333333333333333,,,4a_subject_control
