checkpoint,timestamp,step,metric,value,n_samples,phenomenon,condition
checkpoint-0,2025-08-10T14:03:56.551410,0,blimp_overall,0.47119402985074627,6700.0,,
checkpoint-29,2025-08-10T14:05:33.384146,29,blimp_overall,0.47119402985074627,6700.0,,
checkpoint-59,2025-08-10T14:07:07.946890,59,blimp_overall,0.47119402985074627,6700.0,,
checkpoint-88,2025-08-10T14:08:49.998798,88,blimp_overall,0.47,6700.0,,
checkpoint-117,2025-08-10T14:10:30.764117,117,blimp_overall,0.4698507462686567,6700.0,,
checkpoint-147,2025-08-10T14:12:11.579971,147,blimp_overall,0.471044776119403,6700.0,,
checkpoint-176,2025-08-10T14:13:52.860391,176,blimp_overall,0.46955223880597013,6700.0,,
checkpoint-205,2025-08-10T14:15:34.391084,205,blimp_overall,0.47253731343283584,6700.0,,
checkpoint-235,2025-08-10T14:17:15.760418,235,blimp_overall,0.4746268656716418,6700.0,,
checkpoint-264,2025-08-10T14:18:57.114259,264,blimp_overall,0.4774626865671642,6700.0,,
checkpoint-293,2025-08-10T14:20:38.909170,293,blimp_overall,0.4791044776119403,6700.0,,
checkpoint-322,2025-08-10T14:22:20.141146,322,blimp_overall,0.4861194029850746,6700.0,,
checkpoint-352,2025-08-10T14:24:01.319176,352,blimp_overall,0.49507462686567166,6700.0,,
checkpoint-381,2025-08-10T14:25:42.812691,381,blimp_overall,0.49507462686567166,6700.0,,
checkpoint-410,2025-08-10T14:27:24.255130,410,blimp_overall,0.49701492537313435,6700.0,,
checkpoint-440,2025-08-10T14:29:05.178216,440,blimp_overall,0.49970149253731344,6700.0,,
checkpoint-469,2025-08-10T14:30:46.311903,469,blimp_overall,0.5032835820895523,6700.0,,
checkpoint-498,2025-08-10T14:32:28.175801,498,blimp_overall,0.5092537313432836,6700.0,,
checkpoint-528,2025-08-10T14:34:09.181610,528,blimp_overall,0.5105970149253731,6700.0,,
checkpoint-557,2025-08-10T14:35:50.675358,557,blimp_overall,0.5164179104477612,6700.0,,
checkpoint-649,2025-08-10T14:37:32.435967,649,blimp_overall,0.5267164179104478,6700.0,,
checkpoint-741,2025-08-10T14:39:14.054899,741,blimp_overall,0.5325373134328358,6700.0,,
checkpoint-833,2025-08-10T14:40:55.631924,833,blimp_overall,0.5308955223880597,6700.0,,
checkpoint-925,2025-08-10T14:42:37.635439,925,blimp_overall,0.5247761194029851,6700.0,,
checkpoint-1017,2025-08-10T14:44:19.755287,1017,blimp_overall,0.5194029850746269,6700.0,,
checkpoint-1114,2025-08-10T14:46:01.439629,1114,blimp_overall,0.5167164179104478,6700.0,,
checkpoint-1206,2025-08-10T14:47:43.622662,1206,blimp_overall,0.513731343283582,6700.0,,
checkpoint-1298,2025-08-10T14:49:25.600533,1298,blimp_overall,0.5059701492537313,6700.0,,
checkpoint-1390,2025-08-10T14:51:07.172569,1390,blimp_overall,0.5026865671641791,6700.0,,
checkpoint-1482,2025-08-10T14:52:49.246951,1482,blimp_overall,0.5017910447761194,6700.0,,
checkpoint-1574,2025-08-10T14:54:31.597259,1574,blimp_overall,0.5017910447761194,6700.0,,
checkpoint-1671,2025-08-10T14:56:13.196340,1671,blimp_overall,0.5013432835820896,6700.0,,
checkpoint-1763,2025-08-10T14:57:55.483752,1763,blimp_overall,0.502089552238806,6700.0,,
checkpoint-1855,2025-08-10T14:59:36.959192,1855,blimp_overall,0.5016417910447761,6700.0,,
checkpoint-1947,2025-08-10T15:01:18.177626,1947,blimp_overall,0.5055223880597015,6700.0,,
checkpoint-2039,2025-08-10T15:02:59.970344,2039,blimp_overall,0.5171641791044777,6700.0,,
checkpoint-2131,2025-08-10T15:04:41.498921,2131,blimp_overall,0.5153731343283582,6700.0,,
checkpoint-2228,2025-08-10T15:06:22.708874,2228,blimp_overall,0.5249253731343284,6700.0,,
checkpoint-2320,2025-08-10T15:08:03.943335,2320,blimp_overall,0.52,6700.0,,
checkpoint-2412,2025-08-10T15:09:45.484099,2412,blimp_overall,0.5219402985074627,6700.0,,
checkpoint-2504,2025-08-10T15:11:27.026290,2504,blimp_overall,0.5177611940298508,6700.0,,
checkpoint-2596,2025-08-10T15:13:08.274697,2596,blimp_overall,0.5159701492537313,6700.0,,
checkpoint-2688,2025-08-10T15:14:49.495045,2688,blimp_overall,0.5134328358208955,6700.0,,
checkpoint-2785,2025-08-10T15:16:31.032113,2785,blimp_overall,0.5108955223880597,6700.0,,
checkpoint-2877,2025-08-10T15:18:07.521477,2877,blimp_overall,0.5070149253731343,6700.0,,
checkpoint-2969,2025-08-10T15:19:40.983317,2969,blimp_overall,0.5098507462686567,6700.0,,
checkpoint-3061,2025-08-10T15:21:14.892208,3061,blimp_overall,0.5035820895522388,6700.0,,
checkpoint-3153,2025-08-10T15:22:47.619875,3153,blimp_overall,0.5014925373134328,6700.0,,
checkpoint-3245,2025-08-10T15:24:20.811260,3245,blimp_overall,0.5013432835820896,6700.0,,
checkpoint-3342,2025-08-10T15:25:53.610290,3342,blimp_overall,0.4994029850746269,6700.0,,
checkpoint-3434,2025-08-10T15:27:27.780517,3434,blimp_overall,0.5014925373134328,6700.0,,
checkpoint-3526,2025-08-10T15:29:03.126565,3526,blimp_overall,0.5011940298507462,6700.0,,
checkpoint-3618,2025-08-10T15:30:39.407042,3618,blimp_overall,0.502089552238806,6700.0,,
checkpoint-3710,2025-08-10T15:32:18.385992,3710,blimp_overall,0.49761194029850747,6700.0,,
checkpoint-3802,2025-08-10T15:33:57.824961,3802,blimp_overall,0.5032835820895523,6700.0,,
checkpoint-3899,2025-08-10T15:35:32.178094,3899,blimp_overall,0.49761194029850747,6700.0,,
checkpoint-3991,2025-08-10T15:37:05.096458,3991,blimp_overall,0.5002985074626866,6700.0,,
checkpoint-4083,2025-08-10T15:38:38.259496,4083,blimp_overall,0.49835820895522387,6700.0,,
checkpoint-4175,2025-08-10T15:40:11.354434,4175,blimp_overall,0.502089552238806,6700.0,,
checkpoint-4267,2025-08-10T15:41:44.265164,4267,blimp_overall,0.5046268656716418,6700.0,,
checkpoint-4359,2025-08-10T15:43:17.241613,4359,blimp_overall,0.5038805970149254,6700.0,,
checkpoint-4456,2025-08-10T15:44:50.324616,4456,blimp_overall,0.5073134328358209,6700.0,,
checkpoint-4548,2025-08-10T15:46:23.315924,4548,blimp_overall,0.5025373134328358,6700.0,,
checkpoint-4640,2025-08-10T15:47:56.512509,4640,blimp_overall,0.5091044776119403,6700.0,,
checkpoint-4732,2025-08-10T15:49:29.382207,4732,blimp_overall,0.5117910447761194,6700.0,,
checkpoint-4824,2025-08-10T15:51:02.271281,4824,blimp_overall,0.5097014925373134,6700.0,,
checkpoint-4916,2025-08-10T15:52:35.143738,4916,blimp_overall,0.5116417910447761,6700.0,,
checkpoint-5013,2025-08-10T15:54:08.112402,5013,blimp_overall,0.508955223880597,6700.0,,
checkpoint-5105,2025-08-10T15:55:40.717052,5105,blimp_overall,0.5113432835820896,6700.0,,
checkpoint-5197,2025-08-10T15:57:13.535432,5197,blimp_overall,0.5086567164179104,6700.0,,
checkpoint-5289,2025-08-10T15:58:46.879752,5289,blimp_overall,0.5114925373134328,6700.0,,
checkpoint-5381,2025-08-10T16:00:19.526553,5381,blimp_overall,0.5077611940298508,6700.0,,
checkpoint-5473,2025-08-10T16:01:52.469821,5473,blimp_overall,0.5138805970149254,6700.0,,
checkpoint-5570,2025-08-10T16:03:25.645339,5570,blimp_overall,0.5088059701492538,6700.0,,
checkpoint-5662,2025-08-10T16:04:58.327132,5662,blimp_overall,0.506268656716418,6700.0,,
checkpoint-5754,2025-08-10T16:06:31.022502,5754,blimp_overall,0.5026865671641791,6700.0,,
checkpoint-5846,2025-08-10T16:08:04.548659,5846,blimp_overall,0.502089552238806,6700.0,,
checkpoint-5938,2025-08-10T16:09:37.380251,5938,blimp_overall,0.5080597014925373,6700.0,,
checkpoint-6030,2025-08-10T16:11:10.370431,6030,blimp_overall,0.5044776119402985,6700.0,,
checkpoint-6127,2025-08-10T16:12:43.312068,6127,blimp_overall,0.5049253731343284,6700.0,,
checkpoint-6219,2025-08-10T16:14:16.320931,6219,blimp_overall,0.5026865671641791,6700.0,,
checkpoint-6311,2025-08-10T16:15:49.050706,6311,blimp_overall,0.5038805970149254,6700.0,,
checkpoint-6403,2025-08-10T16:17:21.867912,6403,blimp_overall,0.5058208955223881,6700.0,,
checkpoint-6495,2025-08-10T16:18:54.815716,6495,blimp_overall,0.5040298507462686,6700.0,,
checkpoint-6587,2025-08-10T16:20:27.764450,6587,blimp_overall,0.5059701492537313,6700.0,,
checkpoint-6684,2025-08-10T16:22:00.773658,6684,blimp_overall,0.5038805970149254,6700.0,,
checkpoint-6776,2025-08-10T16:23:33.653159,6776,blimp_overall,0.5038805970149254,6700.0,,
checkpoint-6868,2025-08-10T16:25:06.013657,6868,blimp_overall,0.5073134328358209,6700.0,,
checkpoint-6960,2025-08-10T16:26:38.451029,6960,blimp_overall,0.5111940298507462,6700.0,,
checkpoint-7052,2025-08-10T16:28:11.041844,7052,blimp_overall,0.5040298507462686,6700.0,,
checkpoint-7144,2025-08-10T16:29:43.421262,7144,blimp_overall,0.5076119402985074,6700.0,,
checkpoint-7241,2025-08-10T16:31:15.841091,7241,blimp_overall,0.5070149253731343,6700.0,,
checkpoint-7333,2025-08-10T16:32:48.116189,7333,blimp_overall,0.5019402985074627,6700.0,,
checkpoint-7425,2025-08-10T16:34:20.638911,7425,blimp_overall,0.5031343283582089,6700.0,,
checkpoint-7517,2025-08-10T16:35:53.141518,7517,blimp_overall,0.5008955223880597,6700.0,,
checkpoint-7609,2025-08-10T16:37:25.571812,7609,blimp_overall,0.5038805970149254,6700.0,,
checkpoint-7701,2025-08-10T16:38:58.114939,7701,blimp_overall,0.5026865671641791,6700.0,,
checkpoint-7798,2025-08-10T16:40:30.552256,7798,blimp_overall,0.5022388059701492,6700.0,,
checkpoint-7890,2025-08-10T16:42:02.934859,7890,blimp_overall,0.5082089552238805,6700.0,,
checkpoint-7982,2025-08-10T16:43:35.755472,7982,blimp_overall,0.5101492537313432,6700.0,,
checkpoint-8074,2025-08-10T16:45:11.731975,8074,blimp_overall,0.4992537313432836,6700.0,,
checkpoint-8166,2025-08-10T16:46:44.025719,8166,blimp_overall,0.5005970149253731,6700.0,,
checkpoint-8258,2025-08-10T16:48:16.783437,8258,blimp_overall,0.5035820895522388,6700.0,,
checkpoint-8355,2025-08-10T16:49:49.171566,8355,blimp_overall,0.49597014925373134,6700.0,,
checkpoint-8447,2025-08-10T16:51:21.770090,8447,blimp_overall,0.5047761194029851,6700.0,,
checkpoint-8539,2025-08-10T16:52:54.434429,8539,blimp_overall,0.5095522388059701,6700.0,,
checkpoint-8631,2025-08-10T16:54:26.750100,8631,blimp_overall,0.5031343283582089,6700.0,,
checkpoint-8723,2025-08-10T16:56:00.306725,8723,blimp_overall,0.4962686567164179,6700.0,,
checkpoint-8815,2025-08-10T16:57:32.774815,8815,blimp_overall,0.4962686567164179,6700.0,,
checkpoint-8912,2025-08-10T16:59:05.275762,8912,blimp_overall,0.5034328358208955,6700.0,,
checkpoint-9004,2025-08-10T17:00:38.291218,9004,blimp_overall,0.4974626865671642,6700.0,,
checkpoint-9096,2025-08-10T17:02:11.923241,9096,blimp_overall,0.5011940298507462,6700.0,,
checkpoint-9188,2025-08-10T17:03:46.513888,9188,blimp_overall,0.49477611940298505,6700.0,,
checkpoint-9280,2025-08-10T17:05:20.983927,9280,blimp_overall,0.4917910447761194,6700.0,,
checkpoint-9372,2025-08-10T17:06:55.392095,9372,blimp_overall,0.4962686567164179,6700.0,,
checkpoint-9469,2025-08-10T17:08:30.275270,9469,blimp_overall,0.5092537313432836,6700.0,,
checkpoint-9561,2025-08-10T17:10:04.515808,9561,blimp_overall,0.5113432835820896,6700.0,,
checkpoint-9653,2025-08-10T17:11:38.692118,9653,blimp_overall,0.5031343283582089,6700.0,,
checkpoint-9745,2025-08-10T17:13:13.323596,9745,blimp_overall,0.5019402985074627,6700.0,,
checkpoint-9837,2025-08-10T17:14:48.365883,9837,blimp_overall,0.5113432835820896,6700.0,,
checkpoint-9929,2025-08-10T17:16:23.062137,9929,blimp_overall,0.5102985074626866,6700.0,,
checkpoint-10026,2025-08-10T17:17:57.738826,10026,blimp_overall,0.5140298507462686,6700.0,,
checkpoint-10118,2025-08-10T17:19:32.636663,10118,blimp_overall,0.5117910447761194,6700.0,,
checkpoint-10210,2025-08-10T17:21:07.774362,10210,blimp_overall,0.515223880597015,6700.0,,
checkpoint-10302,2025-08-10T17:22:42.852548,10302,blimp_overall,0.5126865671641792,6700.0,,
checkpoint-10394,2025-08-10T17:24:17.101594,10394,blimp_overall,0.5165671641791045,6700.0,,
checkpoint-10486,2025-08-10T17:25:51.914578,10486,blimp_overall,0.5125373134328358,6700.0,,
checkpoint-10583,2025-08-10T17:27:26.787782,10583,blimp_overall,0.5150746268656716,6700.0,,
checkpoint-10675,2025-08-10T17:29:01.739771,10675,blimp_overall,0.5132835820895523,6700.0,,
checkpoint-10767,2025-08-10T17:30:36.240126,10767,blimp_overall,0.5132835820895523,6700.0,,
checkpoint-10859,2025-08-10T17:32:09.723623,10859,blimp_overall,0.5135820895522388,6700.0,,
checkpoint-10951,2025-08-10T17:33:42.755728,10951,blimp_overall,0.5098507462686567,6700.0,,
checkpoint-11043,2025-08-10T17:35:15.834045,11043,blimp_overall,0.5091044776119403,6700.0,,
checkpoint-0,2025-08-10T14:03:56.551410,0,null_subject_overt_pref,0.42,100.0,,
checkpoint-29,2025-08-10T14:05:33.384146,29,null_subject_overt_pref,0.42,100.0,,
checkpoint-59,2025-08-10T14:07:07.946890,59,null_subject_overt_pref,0.42,100.0,,
checkpoint-88,2025-08-10T14:08:49.998798,88,null_subject_overt_pref,0.42,100.0,,
checkpoint-117,2025-08-10T14:10:30.764117,117,null_subject_overt_pref,0.4,100.0,,
checkpoint-147,2025-08-10T14:12:11.579971,147,null_subject_overt_pref,0.41,100.0,,
checkpoint-176,2025-08-10T14:13:52.860391,176,null_subject_overt_pref,0.42,100.0,,
checkpoint-205,2025-08-10T14:15:34.391084,205,null_subject_overt_pref,0.4,100.0,,
checkpoint-235,2025-08-10T14:17:15.760418,235,null_subject_overt_pref,0.39,100.0,,
checkpoint-264,2025-08-10T14:18:57.114259,264,null_subject_overt_pref,0.39,100.0,,
checkpoint-293,2025-08-10T14:20:38.909170,293,null_subject_overt_pref,0.35,100.0,,
checkpoint-322,2025-08-10T14:22:20.141146,322,null_subject_overt_pref,0.35,100.0,,
checkpoint-352,2025-08-10T14:24:01.319176,352,null_subject_overt_pref,0.34,100.0,,
checkpoint-381,2025-08-10T14:25:42.812691,381,null_subject_overt_pref,0.34,100.0,,
checkpoint-410,2025-08-10T14:27:24.255130,410,null_subject_overt_pref,0.32,100.0,,
checkpoint-440,2025-08-10T14:29:05.178216,440,null_subject_overt_pref,0.31,100.0,,
checkpoint-469,2025-08-10T14:30:46.311903,469,null_subject_overt_pref,0.28,100.0,,
checkpoint-498,2025-08-10T14:32:28.175801,498,null_subject_overt_pref,0.28,100.0,,
checkpoint-528,2025-08-10T14:34:09.181610,528,null_subject_overt_pref,0.29,100.0,,
checkpoint-557,2025-08-10T14:35:50.675358,557,null_subject_overt_pref,0.29,100.0,,
