checkpoint,timestamp,step,metric,value,n_samples,phenomenon,condition
checkpoint-0,2025-08-10T14:07:33.372009,0,blimp_overall,0.467910447761194,6700.0,,
checkpoint-28,2025-08-10T14:09:17.979565,28,blimp_overall,0.4665671641791045,6700.0,,
checkpoint-56,2025-08-10T14:10:56.631733,56,blimp_overall,0.471044776119403,6700.0,,
checkpoint-84,2025-08-10T14:12:35.285959,84,blimp_overall,0.48014925373134326,6700.0,,
checkpoint-112,2025-08-10T14:14:13.457636,112,blimp_overall,0.49223880597014924,6700.0,,
checkpoint-141,2025-08-10T14:15:51.863619,141,blimp_overall,0.5082089552238805,6700.0,,
checkpoint-169,2025-08-10T14:17:30.273125,169,blimp_overall,0.5185074626865671,6700.0,,
checkpoint-197,2025-08-10T14:19:08.618038,197,blimp_overall,0.5294029850746269,6700.0,,
checkpoint-225,2025-08-10T14:20:46.633087,225,blimp_overall,0.5356716417910448,6700.0,,
checkpoint-253,2025-08-10T14:22:25.103753,253,blimp_overall,0.5329850746268656,6700.0,,
checkpoint-281,2025-08-10T14:24:03.486828,281,blimp_overall,0.5350746268656716,6700.0,,
checkpoint-309,2025-08-10T14:25:42.107822,309,blimp_overall,0.5417910447761194,6700.0,,
checkpoint-337,2025-08-10T14:27:20.747190,337,blimp_overall,0.54,6700.0,,
checkpoint-365,2025-08-10T14:28:59.274013,365,blimp_overall,0.5343283582089552,6700.0,,
checkpoint-393,2025-08-10T14:30:37.634549,393,blimp_overall,0.5371641791044776,6700.0,,
checkpoint-422,2025-08-10T14:32:15.825529,422,blimp_overall,0.5332835820895523,6700.0,,
checkpoint-450,2025-08-10T14:33:54.161748,450,blimp_overall,0.5350746268656716,6700.0,,
checkpoint-478,2025-08-10T14:35:32.366898,478,blimp_overall,0.5305970149253731,6700.0,,
checkpoint-506,2025-08-10T14:37:10.689128,506,blimp_overall,0.5280597014925373,6700.0,,
checkpoint-534,2025-08-10T14:38:48.928803,534,blimp_overall,0.5319402985074627,6700.0,,
checkpoint-623,2025-08-10T14:40:27.040320,623,blimp_overall,0.5229850746268657,6700.0,,
checkpoint-712,2025-08-10T14:42:05.249513,712,blimp_overall,0.5214925373134328,6700.0,,
checkpoint-801,2025-08-10T14:43:43.389231,801,blimp_overall,0.5171641791044777,6700.0,,
checkpoint-890,2025-08-10T14:45:21.447275,890,blimp_overall,0.5177611940298508,6700.0,,
checkpoint-979,2025-08-10T14:46:59.737451,979,blimp_overall,0.5140298507462686,6700.0,,
checkpoint-1068,2025-08-10T14:48:37.858932,1068,blimp_overall,0.5129850746268657,6700.0,,
checkpoint-1157,2025-08-10T14:50:16.057171,1157,blimp_overall,0.5123880597014925,6700.0,,
checkpoint-1246,2025-08-10T14:51:54.489320,1246,blimp_overall,0.496865671641791,6700.0,,
checkpoint-1335,2025-08-10T14:53:33.060684,1335,blimp_overall,0.49671641791044774,6700.0,,
checkpoint-1424,2025-08-10T14:55:11.608940,1424,blimp_overall,0.4916417910447761,6700.0,,
checkpoint-1513,2025-08-10T14:56:49.966213,1513,blimp_overall,0.48776119402985074,6700.0,,
checkpoint-1602,2025-08-10T14:58:28.283169,1602,blimp_overall,0.4811940298507463,6700.0,,
checkpoint-1691,2025-08-10T15:00:06.874987,1691,blimp_overall,0.48641791044776117,6700.0,,
checkpoint-1780,2025-08-10T15:01:45.486141,1780,blimp_overall,0.49507462686567166,6700.0,,
checkpoint-1869,2025-08-10T15:03:23.963847,1869,blimp_overall,0.49701492537313435,6700.0,,
checkpoint-1958,2025-08-10T15:05:02.635116,1958,blimp_overall,0.49776119402985075,6700.0,,
checkpoint-2047,2025-08-10T15:06:41.053035,2047,blimp_overall,0.49701492537313435,6700.0,,
checkpoint-2136,2025-08-10T15:08:19.653216,2136,blimp_overall,0.5,6700.0,,
checkpoint-2225,2025-08-10T15:09:58.324350,2225,blimp_overall,0.5076119402985074,6700.0,,
checkpoint-2314,2025-08-10T15:11:36.914855,2314,blimp_overall,0.508955223880597,6700.0,,
checkpoint-2403,2025-08-10T15:13:15.619749,2403,blimp_overall,0.5017910447761194,6700.0,,
checkpoint-2492,2025-08-10T15:14:53.980785,2492,blimp_overall,0.5143283582089552,6700.0,,
checkpoint-2581,2025-08-10T15:16:32.396344,2581,blimp_overall,0.5180597014925373,6700.0,,
checkpoint-2670,2025-08-10T15:18:07.587755,2670,blimp_overall,0.5176119402985074,6700.0,,
