checkpoint,timestamp,step,metric,value,n_samples,phenomenon,condition
checkpoint-0,2025-08-10T14:07:33.372009,0,blimp_overall,0.467910447761194,6700.0,,
checkpoint-0,2025-08-10T14:07:33.372009,0,blimp_anaphor_agreement,0.42,,anaphor_agreement,
checkpoint-0,2025-08-10T14:07:33.372009,0,blimp_argument_structure,0.48428571428571426,,argument_structure,
checkpoint-0,2025-08-10T14:07:33.372009,0,blimp_binding,0.4542857142857143,,binding,
checkpoint-0,2025-08-10T14:07:33.372009,0,blimp_control_raising,0.474,,control_raising,
checkpoint-0,2025-08-10T14:07:33.372009,0,blimp_determiner_noun_agreement,0.49375,,determiner_noun_agreement,
checkpoint-0,2025-08-10T14:07:33.372009,0,blimp_ellipsis,0.54,,ellipsis,
checkpoint-0,2025-08-10T14:07:33.372009,0,blimp_filler_gap_dependency,0.40714285714285714,,filler_gap_dependency,
checkpoint-0,2025-08-10T14:07:33.372009,0,blimp_irregular_forms,0.515,,irregular_forms,
checkpoint-0,2025-08-10T14:07:33.372009,0,blimp_island_effects,0.47875,,island_effects,
checkpoint-0,2025-08-10T14:07:33.372009,0,blimp_npi_licensing,0.5271428571428571,,npi_licensing,
checkpoint-0,2025-08-10T14:07:33.372009,0,blimp_quantifiers,0.315,,quantifiers,
checkpoint-0,2025-08-10T14:07:33.372009,0,blimp_s-selection,0.51,,s-selection,
checkpoint-0,2025-08-10T14:07:33.372009,0,blimp_subject_verb_agreement,0.4766666666666667,,subject_verb_agreement,
checkpoint-0,2025-08-10T14:07:33.372009,0,null_subject_overt_pref,0.35,100.0,,
checkpoint-0,2025-08-10T14:07:33.372009,0,null_subject_surprisal_diff,-0.033203186294994025,100.0,,
checkpoint-0,2025-08-10T14:07:33.372009,0,null_subject_1a_3rdSG_overt_pref,0.5,,,1a_3rdSG
checkpoint-0,2025-08-10T14:07:33.372009,0,null_subject_1b_3rdPL_overt_pref,0.3333333333333333,,,1b_3rdPL
