checkpoint,timestamp,step,metric,value,n_samples,phenomenon,condition
checkpoint-105,2025-08-10T15:30:49.303107,105,blimp_overall,0.5677611940298507,6700.0,,
checkpoint-131,2025-08-10T15:32:25.457434,131,blimp_overall,0.5780597014925373,6700.0,,
checkpoint-158,2025-08-10T15:33:58.057612,158,blimp_overall,0.5723880597014925,6700.0,,
checkpoint-184,2025-08-10T15:35:30.687950,184,blimp_overall,0.5643283582089552,6700.0,,
checkpoint-210,2025-08-10T15:37:02.436853,210,blimp_overall,0.5556716417910448,6700.0,,
checkpoint-236,2025-08-10T15:38:34.164121,236,blimp_overall,0.5570149253731344,6700.0,,
checkpoint-263,2025-08-10T15:40:05.864729,263,blimp_overall,0.5598507462686567,6700.0,,
checkpoint-289,2025-08-10T15:41:37.554460,289,blimp_overall,0.5605970149253732,6700.0,,
checkpoint-315,2025-08-10T15:43:09.430891,315,blimp_overall,0.5559701492537313,6700.0,,
checkpoint-341,2025-08-10T15:44:41.287686,341,blimp_overall,0.551044776119403,6700.0,,
checkpoint-368,2025-08-10T15:46:13.136526,368,blimp_overall,0.5411940298507463,6700.0,,
checkpoint-394,2025-08-10T15:47:45.187982,394,blimp_overall,0.5435820895522389,6700.0,,
checkpoint-420,2025-08-10T15:49:17.021844,420,blimp_overall,0.5497014925373135,6700.0,,
checkpoint-446,2025-08-10T15:50:48.935627,446,blimp_overall,0.5546268656716418,6700.0,,
checkpoint-473,2025-08-10T15:52:20.853797,473,blimp_overall,0.5550746268656717,6700.0,,
checkpoint-499,2025-08-10T15:53:52.744257,499,blimp_overall,0.5494029850746268,6700.0,,
checkpoint-582,2025-08-10T15:55:24.905495,582,blimp_overall,0.5447761194029851,6700.0,,
checkpoint-665,2025-08-10T15:56:56.910078,665,blimp_overall,0.5416417910447762,6700.0,,
checkpoint-748,2025-08-10T15:58:28.761285,748,blimp_overall,0.5349253731343283,6700.0,,
checkpoint-831,2025-08-10T16:00:00.599278,831,blimp_overall,0.5340298507462686,6700.0,,
checkpoint-914,2025-08-10T16:01:32.521328,914,blimp_overall,0.5320895522388059,6700.0,,
checkpoint-998,2025-08-10T16:03:04.319389,998,blimp_overall,0.5304477611940298,6700.0,,
checkpoint-1081,2025-08-10T16:04:36.426228,1081,blimp_overall,0.5276119402985074,6700.0,,
checkpoint-1164,2025-08-10T16:06:08.174244,1164,blimp_overall,0.5249253731343284,6700.0,,
checkpoint-1247,2025-08-10T16:07:40.146528,1247,blimp_overall,0.5168656716417911,6700.0,,
checkpoint-1330,2025-08-10T16:09:12.128164,1330,blimp_overall,0.5207462686567165,6700.0,,
checkpoint-1413,2025-08-10T16:10:44.034294,1413,blimp_overall,0.5122388059701493,6700.0,,
checkpoint-1497,2025-08-10T16:12:16.124535,1497,blimp_overall,0.5029850746268657,6700.0,,
checkpoint-1580,2025-08-10T16:13:47.962101,1580,blimp_overall,0.49835820895522387,6700.0,,
checkpoint-1663,2025-08-10T16:15:19.980548,1663,blimp_overall,0.4988059701492537,6700.0,,
checkpoint-1746,2025-08-10T16:16:51.989025,1746,blimp_overall,0.49761194029850747,6700.0,,
checkpoint-1829,2025-08-10T16:18:24.188190,1829,blimp_overall,0.505223880597015,6700.0,,
checkpoint-1912,2025-08-10T16:19:56.144198,1912,blimp_overall,0.5111940298507462,6700.0,,
checkpoint-1996,2025-08-10T16:21:27.855913,1996,blimp_overall,0.5102985074626866,6700.0,,
checkpoint-2079,2025-08-10T16:22:59.448412,2079,blimp_overall,0.5140298507462686,6700.0,,
checkpoint-2162,2025-08-10T16:24:31.479440,2162,blimp_overall,0.5146268656716418,6700.0,,
checkpoint-2245,2025-08-10T16:26:02.890962,2245,blimp_overall,0.5188059701492538,6700.0,,
checkpoint-2328,2025-08-10T16:27:34.825658,2328,blimp_overall,0.53,6700.0,,
checkpoint-2411,2025-08-10T16:29:06.361651,2411,blimp_overall,0.5271641791044777,6700.0,,
checkpoint-2495,2025-08-10T16:30:37.823751,2495,blimp_overall,0.5255223880597015,6700.0,,
checkpoint-2578,2025-08-10T16:32:09.507827,2578,blimp_overall,0.5285074626865671,6700.0,,
checkpoint-2661,2025-08-10T16:33:41.109524,2661,blimp_overall,0.5295522388059701,6700.0,,
checkpoint-2744,2025-08-10T16:35:12.715290,2744,blimp_overall,0.5344776119402985,6700.0,,
checkpoint-2827,2025-08-10T16:36:44.340301,2827,blimp_overall,0.5361194029850747,6700.0,,
checkpoint-2910,2025-08-10T16:38:15.887786,2910,blimp_overall,0.5408955223880597,6700.0,,
checkpoint-2994,2025-08-10T16:39:47.430178,2994,blimp_overall,0.5498507462686567,6700.0,,
checkpoint-3077,2025-08-10T16:41:19.088397,3077,blimp_overall,0.5480597014925374,6700.0,,
checkpoint-3160,2025-08-10T16:42:50.636886,3160,blimp_overall,0.5562686567164179,6700.0,,
checkpoint-3243,2025-08-10T16:44:22.406127,3243,blimp_overall,0.5525373134328359,6700.0,,
checkpoint-3326,2025-08-10T16:45:54.105851,3326,blimp_overall,0.5607462686567164,6700.0,,
checkpoint-3409,2025-08-10T16:47:25.853677,3409,blimp_overall,0.5523880597014925,6700.0,,
checkpoint-3493,2025-08-10T16:48:57.688777,3493,blimp_overall,0.5543283582089552,6700.0,,
checkpoint-3576,2025-08-10T16:50:29.564174,3576,blimp_overall,0.5552238805970149,6700.0,,
